Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],RUL,Source
643.2,1590.16,2388.25,47.88,169,23,NASA
642.92,1592.71,2388.21,47.86,170,22,NASA
643.26,1592.06,2388.2,48.03,171,21,NASA
643.33,1591.71,2388.24,48.07,172,20,NASA
642.97,1590.69,2388.22,47.9,173,19,NASA
642.64,1599.81,2388.22,48.0,174,18,NASA
643.61,1603.29,2388.23,47.86,175,17,NASA
642.86,1592.27,2388.23,47.84,176,16,NASA
643.79,1602.02,2388.25,48.03,177,15,NASA
643.38,1605.33,2388.23,48.0,178,14,NASA
642.86,1592.56,2388.26,48.02,179,13,NASA
643.58,1599.87,2388.21,47.85,180,12,NASA
643.44,1596.71,2388.23,48.1,181,11,NASA
644.21,1602.08,2388.26,47.98,182,10,NASA
643.24,1597.23,2388.21,48.03,183,9,NASA
644.07,1605.44,2388.24,48.07,184,8,NASA
643.8,1603.46,2388.29,48.15,185,7,NASA
643.51,1595.16,2388.21,48.12,186,6,NASA
643.32,1592.1,2388.29,48.23,187,5,NASA
643.75,1602.38,2388.31,48.0,188,4,NASA
644.18,1596.17,2388.27,48.08,189,3,NASA
643.64,1599.22,2388.29,48.33,190,2,NASA
643.34,1602.36,2388.28,48.15,191,1,NASA
643.54,1601.41,2388.32,48.25,192,0,NASA
641.89,1583.84,2388.01,46.93,1,286,NASA
641.82,1587.05,2387.98,47.24,2,285,NASA
641.55,1588.32,2388.04,47.22,3,284,NASA
641.68,1584.15,2387.98,47.1,4,283,NASA
641.73,1579.03,2388.03,47.25,5,282,NASA
641.3,1577.5,2388.04,47.05,6,281,NASA
642.03,1587.49,2388.05,47.1,7,280,NASA
642.55,1590.41,2388.01,47.2,8,279,NASA
641.98,1581.99,2388.02,47.14,9,278,NASA
641.99,1586.37,2387.99,47.21,10,277,NASA
642.26,1589.21,2388.01,47.21,11,276,NASA
641.64,1579.99,2387.98,47.13,12,275,NASA
641.78,1586.77,2387.94,47.03,13,274,NASA
641.66,1584.04,2388.01,47.12,14,273,NASA
642.21,1579.84,2388.02,47.17,15,272,NASA
641.81,1581.99,2387.99,47.24,16,271,NASA
642.43,1583.58,2388.04,47.13,17,270,NASA
641.95,1588.43,2388.0,47.22,18,269,NASA
641.75,1576.84,2388.02,47.14,19,268,NASA
642.34,1582.94,2388.0,47.14,20,267,NASA
642.05,1579.51,2388.03,47.04,21,266,NASA
642.16,1580.18,2387.96,47.17,22,265,NASA
642.37,1580.89,2387.96,47.21,23,264,NASA
641.99,1580.97,2387.98,47.15,24,263,NASA
641.81,1585.38,2388.0,47.19,25,262,NASA
641.87,1575.38,2387.98,47.12,26,261,NASA
642.12,1585.44,2388.03,47.03,27,260,NASA
642.04,1581.6,2387.99,46.99,28,259,NASA
642.08,1583.78,2388.0,47.11,29,258,NASA
641.78,1590.32,2387.98,47.2,30,257,NASA
641.97,1579.86,2388.0,47.05,31,256,NASA
641.58,1584.52,2387.98,47.12,32,255,NASA
641.79,1585.17,2388.01,47.09,33,254,NASA
642.12,1584.08,2388.0,47.22,34,253,NASA
641.37,1575.73,2388.02,47.25,35,252,NASA
641.27,1581.56,2388.02,47.21,36,251,NASA
642.1,1585.63,2388.04,47.16,37,250,NASA
642.22,1585.15,2388.0,47.22,38,249,NASA
642.0,1585.69,2388.0,47.2,39,248,NASA
642.02,1582.69,2388.03,47.22,40,247,NASA
642.41,1578.97,2388.04,47.26,41,246,NASA
642.27,1579.21,2387.97,47.14,42,245,NASA
642.02,1580.59,2388.04,47.08,43,244,NASA
642.01,1584.33,2388.04,47.22,44,243,NASA
642.05,1586.41,2388.05,47.17,45,242,NASA
642.15,1575.45,2388.0,47.19,46,241,NASA
642.4,1583.85,2388.04,47.03,47,240,NASA
642.09,1586.71,2387.99,47.18,48,239,NASA
642.85,1583.86,2388.04,47.18,49,238,NASA
642.02,1577.86,2388.0,47.16,50,237,NASA
642.03,1585.34,2388.02,47.03,51,236,NASA
641.52,1588.48,2388.0,47.09,52,235,NASA
642.0,1584.9,2388.05,46.98,53,234,NASA
641.58,1583.46,2388.01,47.1,54,233,NASA
642.33,1585.59,2388.02,47.18,55,232,NASA
641.84,1587.04,2388.02,47.03,56,231,NASA
642.5,1584.13,2388.05,47.17,57,230,NASA
642.3,1582.93,2388.03,47.3,58,229,NASA
642.48,1584.24,2388.08,47.17,59,228,NASA
642.09,1584.57,2388.04,47.12,60,227,NASA
642.41,1585.45,2388.03,47.09,61,226,NASA
641.81,1577.87,2388.03,47.27,62,225,NASA
641.91,1575.83,2388.0,47.17,63,224,NASA
641.66,1581.65,2388.02,47.11,64,223,NASA
641.7,1582.59,2388.0,47.34,65,222,NASA
642.26,1584.6,2388.06,47.17,66,221,NASA
642.17,1587.63,2388.1,46.96,67,220,NASA
642.5,1577.16,2387.97,47.16,68,219,NASA
642.73,1586.47,2388.01,47.33,69,218,NASA
641.76,1593.24,2388.05,47.26,70,217,NASA
642.39,1586.68,2388.0,47.24,71,216,NASA
642.48,1583.11,2388.03,47.19,72,215,NASA
641.73,1586.57,2388.01,47.15,73,214,NASA
642.39,1584.04,2388.01,47.25,74,213,NASA
641.64,1578.27,2387.95,47.09,75,212,NASA
642.01,1586.91,2388.05,46.99,76,211,NASA
641.97,1588.54,2388.02,46.95,77,210,NASA
642.44,1587.2,2387.99,47.12,78,209,NASA
641.62,1585.59,2388.0,47.23,79,208,NASA
641.37,1588.33,2387.99,47.2,80,207,NASA
641.72,1578.31,2388.02,47.25,81,206,NASA
641.86,1587.24,2388.01,47.19,82,205,NASA
641.73,1585.18,2388.07,47.13,83,204,NASA
642.41,1586.46,2388.06,47.29,84,203,NASA
641.73,1588.31,2387.97,47.19,85,202,NASA
641.85,1579.31,2388.02,47.27,86,201,NASA
642.36,1582.64,2387.95,47.26,87,200,NASA
642.23,1587.88,2388.01,47.04,88,199,NASA
641.95,1584.62,2388.0,47.18,89,198,NASA
642.06,1580.77,2387.98,47.21,90,197,NASA
642.09,1583.57,2388.02,47.15,91,196,NASA
642.36,1584.87,2388.02,47.13,92,195,NASA
642.21,1591.68,2388.05,47.24,93,194,NASA
642.1,1585.62,2388.03,47.38,94,193,NASA
642.56,1579.26,2388.05,47.06,95,192,NASA
642.42,1576.94,2387.97,47.07,96,191,NASA
642.04,1586.12,2388.02,47.19,97,190,NASA
641.73,1587.84,2388.04,47.21,98,189,NASA
642.04,1585.48,2388.05,47.13,99,188,NASA
642.04,1586.01,2388.0,47.21,100,187,NASA
641.96,1582.66,2387.98,47.37,101,186,NASA
642.44,1590.24,2388.03,47.19,102,185,NASA
642.05,1587.75,2388.11,47.23,103,184,NASA
642.41,1582.04,2388.0,47.26,104,183,NASA
641.94,1585.65,2388.02,47.32,105,182,NASA
641.87,1584.61,2388.06,47.32,106,181,NASA
642.52,1581.7,2387.96,47.16,107,180,NASA
642.24,1578.45,2388.03,47.23,108,179,NASA
642.12,1590.41,2388.12,47.28,109,178,NASA
642.29,1583.3,2388.07,47.31,110,177,NASA
642.24,1576.85,2387.99,47.18,111,176,NASA
642.49,1588.35,2388.01,47.37,112,175,NASA
641.95,1584.21,2388.01,47.23,113,174,NASA
642.13,1576.56,2388.01,47.19,114,173,NASA
642.16,1583.27,2388.01,47.14,115,172,NASA
642.38,1577.87,2387.97,47.01,116,171,NASA
641.97,1583.84,2388.02,47.23,117,170,NASA
641.95,1580.49,2388.01,47.11,118,169,NASA
642.67,1585.06,2388.0,47.24,119,168,NASA
642.01,1589.61,2388.05,47.22,120,167,NASA
642.04,1580.19,2387.96,47.28,121,166,NASA
642.08,1585.52,2388.01,47.23,122,165,NASA
642.11,1588.59,2388.04,47.21,123,164,NASA
642.37,1583.12,2388.04,47.06,124,163,NASA
642.71,1586.32,2388.01,47.31,125,162,NASA
642.07,1587.45,2387.96,47.28,126,161,NASA
642.26,1586.65,2387.99,47.21,127,160,NASA
641.54,1592.2,2388.01,47.2,128,159,NASA
641.66,1590.59,2388.07,47.23,129,158,NASA
642.06,1584.83,2387.99,47.26,130,157,NASA
641.96,1587.61,2388.01,47.36,131,156,NASA
642.01,1586.66,2388.13,47.12,132,155,NASA
642.84,1581.22,2388.04,47.18,133,154,NASA
642.76,1586.44,2388.02,47.17,134,153,NASA
642.02,1580.12,2388.01,47.34,135,152,NASA
642.06,1582.91,2388.05,47.09,136,151,NASA
642.46,1585.36,2388.01,47.39,137,150,NASA
642.34,1585.19,2387.99,47.16,138,149,NASA
642.63,1590.88,2388.06,47.3,139,148,NASA
642.29,1593.7,2388.09,47.32,140,147,NASA
642.07,1585.09,2388.05,47.43,141,146,NASA
641.91,1586.41,2388.08,47.3,142,145,NASA
642.31,1588.88,2388.03,47.3,143,144,NASA
642.02,1584.35,2388.03,47.32,144,143,NASA
642.01,1582.72,2387.97,47.33,145,142,NASA
642.52,1590.06,2388.05,47.3,146,141,NASA
642.27,1588.78,2388.05,47.48,147,140,NASA
642.65,1584.5,2388.02,47.31,148,139,NASA
642.03,1587.88,2388.04,47.31,149,138,NASA
642.62,1585.43,2388.01,47.15,150,137,NASA
642.54,1590.21,2387.98,47.33,151,136,NASA
642.38,1583.49,2388.06,47.25,152,135,NASA
641.96,1594.33,2388.09,47.29,153,134,NASA
642.34,1591.3,2388.01,47.23,154,133,NASA
642.17,1580.93,2388.06,47.23,155,132,NASA
642.15,1578.73,2388.04,47.31,156,131,NASA
642.04,1588.7,2388.07,47.45,157,130,NASA
641.99,1586.95,2388.02,47.45,158,129,NASA
641.81,1593.89,2388.04,47.26,159,128,NASA
642.53,1585.65,2388.07,47.46,160,127,NASA
642.08,1586.65,2388.05,47.19,161,126,NASA
641.71,1588.83,2388.06,47.42,162,125,NASA
642.88,1589.56,2388.08,47.29,163,124,NASA
642.82,1588.23,2387.99,47.32,164,123,NASA
642.17,1588.55,2388.03,47.39,165,122,NASA
641.79,1589.09,2388.03,47.43,166,121,NASA
642.25,1588.74,2388.01,47.39,167,120,NASA
642.55,1593.95,2388.04,47.3,168,119,NASA
642.26,1581.85,2388.06,47.33,169,118,NASA
642.14,1577.26,2388.03,47.35,170,117,NASA
642.21,1587.94,2388.03,47.34,171,116,NASA
642.07,1589.42,2388.06,47.25,172,115,NASA
642.66,1589.0,2388.04,47.27,173,114,NASA
642.34,1588.01,2388.08,47.31,174,113,NASA
642.46,1584.58,2388.02,47.45,175,112,NASA
642.32,1585.73,2388.04,47.22,176,111,NASA
642.35,1586.88,2388.06,47.42,177,110,NASA
642.43,1590.29,2388.04,47.56,178,109,NASA
642.33,1584.55,2388.03,47.37,179,108,NASA
642.5,1593.51,2388.11,47.52,180,107,NASA
642.01,1585.87,2388.03,47.27,181,106,NASA
642.39,1586.42,2388.03,47.52,182,105,NASA
642.6,1584.95,2388.08,47.24,183,104,NASA
642.43,1585.66,2388.04,47.47,184,103,NASA
642.66,1581.09,2388.02,47.23,185,102,NASA
642.8,1582.46,2388.05,47.47,186,101,NASA
642.69,1588.88,2388.08,47.51,187,100,NASA
642.64,1582.97,2388.07,47.37,188,99,NASA
642.81,1583.54,2388.03,47.42,189,98,NASA
642.48,1592.5,2388.06,47.2,190,97,NASA
642.23,1584.59,2388.04,47.4,191,96,NASA
642.18,1589.95,2388.03,47.49,192,95,NASA
642.13,1588.28,2388.09,47.3,193,94,NASA
643.1,1592.38,2388.05,47.69,194,93,NASA
643.24,1591.55,2388.01,47.32,195,92,NASA
642.64,1591.39,2388.15,47.43,196,91,NASA
642.55,1588.64,2388.07,47.36,197,90,NASA
643.21,1596.17,2388.05,47.14,198,89,NASA
642.44,1587.17,2388.09,47.49,199,88,NASA
642.74,1589.73,2388.08,47.44,200,87,NASA
642.31,1595.57,2388.04,47.44,201,86,NASA
642.56,1589.47,2388.14,47.45,202,85,NASA
641.95,1593.02,2388.05,47.58,203,84,NASA
642.46,1591.84,2388.02,47.43,204,83,NASA
642.65,1586.59,2388.07,47.42,205,82,NASA
642.51,1588.18,2388.03,47.24,206,81,NASA
642.73,1591.04,2388.05,47.39,207,80,NASA
642.6,1590.29,2388.05,47.51,208,79,NASA
642.27,1590.92,2388.09,47.43,209,78,NASA
642.88,1583.56,2388.1,47.51,210,77,NASA
642.8,1584.65,2388.08,47.48,211,76,NASA
642.54,1586.71,2388.13,47.51,212,75,NASA
642.39,1594.64,2388.09,47.56,213,74,NASA
642.39,1588.17,2388.09,47.49,214,73,NASA
642.97,1591.44,2388.09,47.57,215,72,NASA
642.46,1583.46,2388.08,47.53,216,71,NASA
643.3,1585.11,2388.1,47.51,217,70,NASA
642.91,1592.69,2388.12,47.56,218,69,NASA
642.88,1592.52,2388.02,47.71,219,68,NASA
642.87,1600.76,2388.09,47.54,220,67,NASA
643.09,1586.57,2388.12,47.47,221,66,NASA
643.16,1590.78,2388.1,47.52,222,65,NASA
643.06,1596.47,2388.06,47.62,223,64,NASA
642.86,1592.47,2388.13,47.74,224,63,NASA
642.68,1590.59,2388.12,47.67,225,62,NASA
643.23,1601.02,2388.05,47.46,226,61,NASA
642.8,1587.46,2388.11,47.66,227,60,NASA
642.67,1592.83,2388.11,47.46,228,59,NASA
642.32,1593.83,2388.13,47.65,229,58,NASA
642.68,1593.67,2388.09,47.69,230,57,NASA
642.99,1593.78,2388.13,47.64,231,56,NASA
642.98,1590.33,2388.11,47.56,232,55,NASA
642.96,1599.65,2388.07,47.66,233,54,NASA
643.49,1588.68,2388.12,47.58,234,53,NASA
642.63,1594.54,2388.12,47.85,235,52,NASA
643.01,1598.16,2388.15,47.63,236,51,NASA
643.14,1593.05,2388.11,47.65,237,50,NASA
643.13,1599.64,2388.11,47.52,238,49,NASA
642.73,1598.37,2388.13,47.83,239,48,NASA
642.61,1599.71,2388.11,47.66,240,47,NASA
643.14,1598.65,2388.16,47.7,241,46,NASA
643.77,1593.7,2388.13,47.54,242,45,NASA
643.04,1593.98,2388.09,47.55,243,44,NASA
642.88,1595.99,2388.13,47.71,244,43,NASA
642.7,1590.93,2388.15,47.75,245,42,NASA
642.85,1589.74,2388.12,47.72,246,41,NASA
642.88,1601.2,2388.1,47.7,247,40,NASA
643.06,1599.41,2388.08,47.75,248,39,NASA
643.79,1599.77,2388.17,47.66,249,38,NASA
643.15,1598.28,2388.16,47.79,250,37,NASA
642.47,1598.68,2388.16,47.92,251,36,NASA
642.83,1596.89,2388.11,47.7,252,35,NASA
643.01,1596.43,2388.14,47.69,253,34,NASA
643.31,1593.88,2388.15,47.95,254,33,NASA
643.48,1598.25,2388.15,47.67,255,32,NASA
642.92,1598.83,2388.12,47.77,256,31,NASA
643.06,1593.17,2388.14,48.02,257,30,NASA
642.93,1599.77,2388.11,47.66,258,29,NASA
642.78,1597.65,2388.12,47.91,259,28,NASA
642.94,1593.51,2388.17,47.94,260,27,NASA
643.69,1594.0,2388.09,48.03,261,26,NASA
643.05,1588.3,2388.14,47.82,262,25,NASA
643.16,1592.32,2388.2,47.91,263,24,NASA
643.47,1610.1,2388.18,48.07,264,23,NASA
643.03,1593.48,2388.18,47.66,265,22,NASA
643.14,1591.54,2388.1,47.84,266,21,NASA
642.96,1602.23,2388.11,47.8,267,20,NASA
643.1,1602.53,2388.16,47.96,268,19,NASA
643.11,1594.52,2388.2,48.09,269,18,NASA
643.12,1604.32,2388.2,48.04,270,17,NASA
643.87,1607.43,2388.22,48.14,271,16,NASA
643.27,1600.02,2388.22,47.96,272,15,NASA
643.71,1598.88,2388.15,47.88,273,14,NASA
643.18,1598.98,2388.2,48.07,274,13,NASA
643.67,1595.3,2388.21,48.02,275,12,NASA
643.82,1605.46,2388.16,47.98,276,11,NASA
643.91,1601.47,2388.22,48.03,277,10,NASA
643.44,1597.61,2388.19,47.99,278,9,NASA
643.64,1594.8,2388.19,48.13,279,8,NASA
643.63,1594.21,2388.24,48.12,280,7,NASA
643.6,1598.25,2388.18,48.17,281,6,NASA
643.94,1598.56,2388.23,48.27,282,5,NASA
643.78,1602.03,2388.16,48.21,283,4,NASA
643.91,1601.35,2388.22,48.18,284,3,NASA
643.67,1596.84,2388.2,48.27,285,2,NASA
643.44,1603.63,2388.18,48.14,286,1,NASA
643.85,1608.5,2388.2,48.12,287,0,NASA
642.04,1584.2,2388.06,47.14,1,178,NASA
642.66,1587.04,2388.05,47.35,2,177,NASA
642.07,1580.75,2388.03,46.94,3,176,NASA
642.5,1580.12,2388.07,47.44,4,175,NASA
641.97,1581.48,2388.01,47.16,5,174,NASA
642.65,1581.26,2388.08,47.12,6,173,NASA
642.62,1583.68,2388.06,47.26,7,172,NASA
642.23,1581.6,2388.0,47.13,8,171,NASA
642.6,1581.04,2387.99,47.16,9,170,NASA
642.72,1582.2,2388.0,47.22,10,169,NASA
641.94,1591.43,2388.03,47.4,11,168,NASA
642.61,1583.92,2388.06,47.17,12,167,NASA
642.63,1583.25,2388.03,47.25,13,166,NASA
642.16,1591.03,2388.02,47.27,14,165,NASA
641.83,1585.29,2388.05,47.15,15,164,NASA
642.65,1589.05,2388.05,47.26,16,163,NASA
642.78,1588.94,2388.0,47.35,17,162,NASA
642.26,1584.36,2388.0,47.38,18,161,NASA
642.05,1580.67,2388.03,47.23,19,160,NASA
642.25,1580.73,2388.06,47.1,20,159,NASA
642.18,1586.78,2388.02,47.27,21,158,NASA
642.34,1589.55,2388.06,47.3,22,157,NASA
642.07,1585.2,2387.99,47.12,23,156,NASA
642.24,1585.08,2388.05,47.26,24,155,NASA
642.24,1579.4,2388.05,47.17,25,154,NASA
641.61,1586.92,2388.04,47.28,26,153,NASA
642.36,1581.83,2388.03,47.17,27,152,NASA
641.48,1590.59,2388.04,47.22,28,151,NASA
642.01,1584.71,2388.03,47.24,29,150,NASA
642.21,1584.95,2388.01,47.23,30,149,NASA
642.33,1588.68,2388.04,47.33,31,148,NASA
642.55,1583.7,2388.04,47.3,32,147,NASA
641.82,1583.55,2388.0,47.31,33,146,NASA
642.83,1584.17,2388.01,47.2,34,145,NASA
642.08,1584.57,2388.04,47.26,35,144,NASA
642.06,1580.96,2388.05,47.33,36,143,NASA
641.68,1582.96,2388.02,47.17,37,142,NASA
641.72,1577.99,2388.09,47.44,38,141,NASA
641.94,1580.42,2388.05,47.1,39,140,NASA
641.97,1579.38,2388.03,47.09,40,139,NASA
642.79,1586.38,2388.02,47.32,41,138,NASA
642.61,1586.25,2387.97,47.31,42,137,NASA
642.58,1587.9,2388.0,47.35,43,136,NASA
642.21,1586.83,2388.0,47.17,44,135,NASA
642.15,1582.99,2388.04,47.06,45,134,NASA
642.42,1590.25,2388.05,47.38,46,133,NASA
642.26,1587.55,2388.04,47.29,47,132,NASA
642.01,1587.21,2388.05,47.32,48,131,NASA
642.16,1583.53,2388.03,47.33,49,130,NASA
642.51,1586.16,2388.03,47.27,50,129,NASA
642.39,1592.16,2387.94,47.14,51,128,NASA
642.29,1582.66,2387.99,47.36,52,127,NASA
642.02,1588.04,2388.06,47.21,53,126,NASA
642.03,1585.66,2388.04,47.45,54,125,NASA
642.41,1594.2,2388.03,47.22,55,124,NASA
642.73,1586.08,2388.07,47.14,56,123,NASA
642.56,1581.97,2388.06,47.28,57,122,NASA
642.52,1581.31,2388.06,47.35,58,121,NASA
642.31,1587.46,2388.03,47.22,59,120,NASA
641.8,1586.82,2388.05,47.47,60,119,NASA
642.5,1585.5,2388.07,47.26,61,118,NASA
642.18,1591.5,2388.07,47.28,62,117,NASA
642.1,1583.42,2388.07,47.27,63,116,NASA
642.53,1590.04,2388.04,47.24,64,115,NASA
641.69,1586.21,2388.03,47.29,65,114,NASA
642.25,1577.22,2388.01,47.31,66,113,NASA
642.0,1584.55,2388.1,47.29,67,112,NASA
642.94,1587.27,2388.04,47.31,68,111,NASA
642.05,1581.93,2388.05,47.24,69,110,NASA
642.54,1587.02,2387.99,47.44,70,109,NASA
642.9,1579.41,2388.1,47.43,71,108,NASA
642.25,1590.21,2388.06,47.48,72,107,NASA
642.42,1585.01,2388.07,47.23,73,106,NASA
642.75,1589.64,2388.03,47.14,74,105,NASA
642.25,1592.23,2388.05,47.25,75,104,NASA
642.52,1589.35,2388.0,47.35,76,103,NASA
642.98,1584.13,2388.02,47.16,77,102,NASA
642.43,1579.52,2388.06,47.38,78,101,NASA
642.31,1582.4,2388.03,47.28,79,100,NASA
641.74,1580.95,2388.03,47.34,80,99,NASA
642.55,1581.73,2388.1,47.46,81,98,NASA
642.24,1583.69,2388.05,47.22,82,97,NASA
642.27,1591.3,2388.0,47.51,83,96,NASA
642.18,1593.32,2388.03,47.51,84,95,NASA
641.95,1587.14,2388.01,47.25,85,94,NASA
642.69,1586.09,2387.99,47.37,86,93,NASA
642.32,1588.25,2388.01,47.32,87,92,NASA
642.27,1585.9,2388.02,47.33,88,91,NASA
642.33,1582.29,2388.05,47.39,89,90,NASA
642.36,1597.84,2388.06,47.4,90,89,NASA
641.99,1582.81,2388.03,47.38,91,88,NASA
642.29,1590.07,2387.99,47.39,92,87,NASA
642.1,1593.66,2387.99,47.43,93,86,NASA
642.58,1588.9,2388.0,47.48,94,85,NASA
642.37,1585.69,2388.09,47.32,95,84,NASA
642.89,1582.86,2388.0,47.31,96,83,NASA
642.94,1587.51,2388.05,47.41,97,82,NASA
642.4,1586.19,2388.03,47.35,98,81,NASA
642.67,1589.42,2388.0,47.37,99,80,NASA
642.29,1579.98,2388.01,47.3,100,79,NASA
642.24,1587.77,2388.03,47.42,101,78,NASA
642.63,1579.35,2388.04,47.39,102,77,NASA
642.28,1585.62,2388.05,47.48,103,76,NASA
642.46,1586.74,2388.05,47.44,104,75,NASA
641.85,1591.89,2388.08,47.32,105,74,NASA
642.51,1586.44,2388.04,47.32,106,73,NASA
642.36,1586.96,2388.07,47.45,107,72,NASA
642.98,1583.29,2388.08,47.25,108,71,NASA
642.48,1588.21,2388.05,47.32,109,70,NASA
642.92,1592.41,2388.04,47.41,110,69,NASA
642.25,1583.83,2388.04,47.41,111,68,NASA
642.65,1584.14,2388.03,47.41,112,67,NASA
642.5,1590.74,2388.05,47.41,113,66,NASA
642.46,1588.4,2388.04,47.18,114,65,NASA
642.22,1588.97,2388.02,47.53,115,64,NASA
642.62,1591.56,2388.06,47.36,116,63,NASA
642.76,1587.74,2388.05,47.48,117,62,NASA
642.26,1590.05,2388.03,47.44,118,61,NASA
642.0,1588.1,2388.05,47.53,119,60,NASA
642.6,1585.58,2388.06,47.35,120,59,NASA
642.27,1585.86,2388.03,47.48,121,58,NASA
642.72,1586.83,2388.02,47.43,122,57,NASA
642.49,1594.72,2388.04,47.56,123,56,NASA
642.0,1588.41,2388.04,47.31,124,55,NASA
642.82,1580.5,2388.01,47.34,125,54,NASA
642.76,1583.13,2388.02,47.41,126,53,NASA
642.67,1593.61,2388.05,47.54,127,52,NASA
642.22,1592.24,2388.02,47.55,128,51,NASA
643.1,1597.5,2388.07,47.33,129,50,NASA
642.57,1584.08,2388.1,47.53,130,49,NASA
642.5,1589.91,2388.09,47.44,131,48,NASA
642.35,1592.88,2388.07,47.57,132,47,NASA
642.62,1589.14,2388.01,47.47,133,46,NASA
642.45,1586.99,2388.05,47.64,134,45,NASA
642.52,1588.65,2387.99,47.54,135,44,NASA
642.6,1592.25,2388.08,47.6,136,43,NASA
642.75,1589.57,2388.08,47.33,137,42,NASA
642.3,1599.56,2388.01,47.52,138,41,NASA
643.08,1594.87,2388.08,47.53,139,40,NASA
642.87,1589.67,2388.04,47.39,140,39,NASA
643.08,1584.87,2388.11,47.66,141,38,NASA
643.03,1587.35,2388.02,47.69,142,37,NASA
642.48,1594.94,2388.05,47.56,143,36,NASA
642.48,1593.19,2388.06,47.49,144,35,NASA
642.65,1591.66,2388.06,47.47,145,34,NASA
643.71,1589.2,2388.07,47.43,146,33,NASA
643.07,1590.59,2388.09,47.62,147,32,NASA
642.69,1589.28,2388.05,47.5,148,31,NASA
643.26,1594.66,2388.09,47.64,149,30,NASA
643.08,1591.34,2388.04,47.78,150,29,NASA
643.04,1594.47,2388.05,47.61,151,28,NASA
643.34,1599.53,2388.06,47.66,152,27,NASA
642.89,1594.75,2388.08,47.63,153,26,NASA
643.15,1599.04,2388.03,47.63,154,25,NASA
642.83,1588.51,2388.05,47.69,155,24,NASA
643.52,1597.3,2388.09,47.67,156,23,NASA
642.84,1599.31,2388.11,47.82,157,22,NASA
643.19,1593.16,2388.1,47.74,158,21,NASA
642.71,1597.8,2388.11,47.72,159,20,NASA
642.48,1595.61,2388.1,47.76,160,19,NASA
643.6,1594.41,2388.06,47.68,161,18,NASA
643.11,1594.78,2388.12,47.89,162,17,NASA
643.0,1597.51,2388.13,47.58,163,16,NASA
643.09,1601.99,2388.09,47.81,164,15,NASA
642.96,1601.94,2388.09,47.97,165,14,NASA
642.9,1598.82,2388.04,47.79,166,13,NASA
643.38,1605.41,2388.17,47.97,167,12,NASA
643.46,1593.72,2388.11,47.93,168,11,NASA
643.55,1602.9,2388.13,47.9,169,10,NASA
643.35,1606.1,2388.12,48.14,170,9,NASA
643.36,1603.48,2388.16,47.91,171,8,NASA
643.62,1597.73,2388.08,47.64,172,7,NASA
643.64,1604.78,2388.14,48.16,173,6,NASA
643.46,1602.86,2388.13,47.84,174,5,NASA
643.15,1603.74,2388.06,48.12,175,4,NASA
643.93,1595.61,2388.18,47.98,176,3,NASA
643.68,1601.21,2388.13,48.1,177,2,NASA
643.66,1606.5,2388.19,48.38,178,1,NASA
643.51,1604.8,2388.14,48.09,179,0,NASA
642.6,1585.4,2388.06,47.29,1,188,NASA
642.45,1583.54,2388.06,47.35,2,187,NASA
642.16,1586.59,2388.08,47.4,3,186,NASA
642.73,1583.96,2388.08,47.39,4,185,NASA
642.11,1590.62,2388.1,47.26,5,184,NASA
642.46,1588.76,2388.04,47.18,6,183,NASA
642.26,1586.91,2388.06,47.45,7,182,NASA
641.97,1584.18,2388.05,47.24,8,181,NASA
642.59,1584.78,2388.06,47.43,9,180,NASA
642.78,1586.0,2388.06,47.5,10,179,NASA
642.21,1588.75,2388.07,47.31,11,178,NASA
642.63,1584.33,2388.09,47.35,12,177,NASA
642.24,1587.74,2388.06,47.29,13,176,NASA
642.62,1583.38,2388.05,47.49,14,175,NASA
642.47,1592.08,2388.03,47.35,15,174,NASA
642.17,1585.39,2388.09,47.3,16,173,NASA
642.06,1587.82,2388.1,47.39,17,172,NASA
642.36,1589.62,2388.08,47.52,18,171,NASA
643.02,1589.9,2388.02,47.28,19,170,NASA
642.53,1589.76,2388.05,47.26,20,169,NASA
642.49,1593.11,2388.05,47.33,21,168,NASA
642.68,1594.65,2388.09,47.7,22,167,NASA
642.41,1592.74,2388.14,47.44,23,166,NASA
642.51,1589.01,2388.08,47.46,24,165,NASA
642.05,1592.65,2388.04,47.52,25,164,NASA
642.35,1589.28,2388.07,47.21,26,163,NASA
642.08,1582.09,2388.05,47.37,27,162,NASA
642.59,1583.69,2388.09,47.61,28,161,NASA
642.34,1585.53,2388.07,47.42,29,160,NASA
642.7,1584.4,2388.1,47.57,30,159,NASA
642.42,1580.87,2388.05,47.4,31,158,NASA
642.1,1589.33,2388.08,47.3,32,157,NASA
642.79,1590.98,2388.11,47.34,33,156,NASA
642.29,1587.97,2388.06,47.5,34,155,NASA
642.42,1587.89,2388.05,47.38,35,154,NASA
642.08,1589.48,2388.13,47.32,36,153,NASA
642.62,1582.75,2388.06,47.28,37,152,NASA
642.69,1591.19,2388.08,47.36,38,151,NASA
642.14,1581.05,2388.08,47.56,39,150,NASA
642.77,1596.22,2388.04,47.38,40,149,NASA
642.44,1588.31,2388.02,47.27,41,148,NASA
642.62,1587.0,2388.05,47.42,42,147,NASA
642.12,1589.99,2388.09,47.47,43,146,NASA
641.81,1585.87,2388.13,47.29,44,145,NASA
642.58,1587.46,2388.08,47.3,45,144,NASA
642.99,1584.18,2388.03,47.54,46,143,NASA
