udi,type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,machine_failure,twf,hdf,pwf,osf,rnf,type_enc,temp_diff,power_W,wear_rate,torque_speed_ratio,high_wear_flag,thermal_overload,air_temperature_roll_mean_5,air_temperature_roll_std_5,air_temperature_delta,air_temperature_lag1,process_temperature_roll_mean_5,process_temperature_roll_std_5,process_temperature_delta,process_temperature_lag1,rotational_speed_roll_mean_5,rotational_speed_roll_std_5,rotational_speed_delta,rotational_speed_lag1,torque_roll_mean_5,torque_roll_std_5,torque_delta,torque_lag1,tool_wear_roll_mean_5,tool_wear_roll_std_5,tool_wear_delta,tool_wear_lag1
282,L,298.1,308.0,1626,36.5,83,0,0,0,0,0,0,0,9.899999999999977,6215.012746596688,0.05104551042371124,0.022447724463439282,0,0,298.04,0.05477225575462475,0.0,298.1,308.04,0.054772255739949885,-0.10000000000002274,308.1,1600.0,145.2704374606202,170.0,1456.0,36.739999999999995,10.89967889435278,-7.200000000000003,43.7,77.2,4.969909455915672,3.0,80.0
283,M,298.1,308.1,1390,49.8,85,0,0,0,0,0,0,1,10.0,7248.910888893088,0.06115107909269706,0.03582733810372134,0,0,298.06000000000006,0.05477225575444054,0.0,298.1,308.06,0.05477225574018079,0.10000000000002274,308.0,1582.2,167.5476051753649,-236.0,1626.0,36.56,10.615224915186648,13.299999999999997,36.5,80.2,3.96232255123179,2.0,83.0
284,L,298.2,308.2,1469,43.0,88,0,0,0,0,0,0,0,10.0,6614.832771643549,0.059904697032059424,0.029271613322483583,0,0,298.1,0.0707106781214022,0.0999999999999659,298.1,308.1,0.07071067811099976,0.0999999999999659,308.1,1552.0,172.56448070214208,79.0,1390.0,39.28,10.049228826133861,-6.799999999999997,49.8,82.8,3.96232255123179,3.0,85.0
285,L,298.2,308.3,2051,19.2,90,0,0,0,0,0,0,0,10.100000000000023,4123.780180808106,0.04388103362073085,0.00936128717242258,0,1,298.14,0.05477225575368747,0.0,298.2,308.14,0.11401754250537925,0.10000000000002274,308.2,1598.4,267.423446989975,582.0,1469.0,38.44,11.741507569302998,-23.8,43.0,85.2,3.96232255123179,2.0,88.0
286,L,298.2,308.3,1568,36.0,92,0,0,0,0,0,0,0,10.100000000000023,5911.2207369945545,0.058673469350335794,0.02295918365882705,0,1,298.15999999999997,0.05477225575351494,0.0,298.2,308.18,0.1303840481002701,0.0,308.3,1620.8,257.0013618640959,-483.0,2051.0,36.9,11.378488476067432,16.8,19.2,87.6,3.646916505762094,2.0,90.0
287,L,298.2,308.3,1589,33.2,94,0,0,0,0,0,0,0,10.100000000000023,5524.469737386628,0.0591567022912796,0.020893643787983862,0,1,298.18,0.044721359553469855,0.0,298.2,308.24,0.08944271909484987,0.0,308.3,1613.4,257.34665336856426,21.0,1568.0,36.239999999999995,11.502521462705438,-2.799999999999997,36.0,89.8,3.492849839314598,2.0,92.0
288,L,298.2,308.3,1805,31.6,96,0,0,0,0,0,0,0,10.100000000000023,5973.005392515154,0.053185595538401326,0.017506925198057105,0,1,298.2,0.0,0.0,298.2,308.28000000000003,0.04472135954024985,0.0,308.3,1696.4,233.059649017156,216.0,1589.0,32.6,8.669486720677227,-1.6000000000000014,33.2,92.0,3.162277660168382,2.0,94.0
289,H,298.2,308.4,1385,42.2,98,0,0,0,0,0,0,2,10.199999999999989,6120.555527478756,0.0707581226925934,0.030469314057422876,0,1,298.2,0.0,0.0,298.2,308.32,0.04472135954078687,0.0999999999999659,308.3,1679.6,255.4971624108572,-420.0,1805.0,32.44,8.433741755590978,10.600000000000001,31.6,94.0,3.162277660168382,2.0,96.0
290,L,298.1,308.4,1436,46.7,103,0,0,0,0,0,0,0,10.299999999999955,7022.632442030528,0.07172701944865806,0.032520891342255644,0,1,298.18,0.04472135955344125,-0.0999999999999659,298.2,308.34000000000003,0.05477225574322938,0.0,308.4,1556.6,163.45733388257597,51.0,1385.0,37.940000000000005,6.35043305609937,4.5,42.2,96.6,4.219004621945801,5.0,98.0
291,L,298.1,308.4,1438,45.6,105,0,0,0,0,0,0,0,10.299999999999955,6866.767558510426,0.07301808061681635,0.03171070929644596,0,1,298.15999999999997,0.05477225575345786,0.0,298.1,308.36,0.05477225574347197,0.0,308.4,1530.6,171.33972102230095,2.0,1436.0,39.86,7.031927189611669,-1.1000000000000014,46.7,99.2,4.6583258795408495,2.0,103.0
292,L,298.0,308.3,1473,42.6,107,0,0,0,0,0,0,0,10.300000000000011,6571.143689807627,0.07264086892556627,0.028920570245131994,0,1,298.12,0.08366600265551208,-0.10000000000002274,298.1,308.36,0.05477225574347197,-0.0999999999999659,308.4,1507.4,169.2964854921682,35.0,1438.0,41.74,5.9848141157432915,-3.0,45.6,101.8,4.6583258795408495,2.0,105.0
293,L,298.1,308.4,1335,40.2,109,0,0,0,0,0,0,0,10.299999999999955,5619.9950980067815,0.08164794001374685,0.030112359528005724,0,1,298.1,0.07071067812125097,0.10000000000002274,298.0,308.38,0.0447213595416782,0.0999999999999659,308.3,1413.4,53.90083487293979,-138.0,1473.0,43.46,2.6472627372439623,-2.3999999999999986,42.6,104.4,4.219004621945801,2.0,107.0
294,H,298.1,308.5,1392,44.8,111,0,0,0,0,0,0,2,10.399999999999977,6530.491480870174,0.07974137925305935,0.03218390802285638,0,1,298.08000000000004,0.04472135955428174,0.0,298.1,308.4,0.07071067811358527,0.10000000000002274,308.4,1414.8,53.063169901542075,57.0,1335.0,43.980000000000004,2.592682009040149,4.599999999999994,40.2,107.0,3.1622776601683817,2.0,109.0
295,M,298.1,308.5,1372,51.1,116,0,0,0,0,0,0,1,10.399999999999977,7341.818255635252,0.08454810489464423,0.037244897932037245,0,1,298.08000000000004,0.04472135955428174,0.0,298.1,308.41999999999996,0.08366600264927457,0.0,308.5,1402.0,54.37370688117485,-20.0,1392.0,44.86,4.071609018557722,6.300000000000004,44.8,109.6,4.219004621945801,5.0,111.0
296,M,298.1,308.6,1716,30.7,119,0,0,0,0,0,0,1,10.5,5516.762363409821,0.06934731930690716,0.017890442880017222,0,1,298.08000000000004,0.04472135955428174,0.0,298.1,308.46,0.1140175425071002,0.10000000000002274,308.5,1457.6,153.02712177911445,344.0,1372.0,41.88,7.447617068566309,-20.400000000000002,51.1,112.4,4.979959839195495,3.0,116.0
297,L,298.0,308.5,1395,46.2,122,0,0,0,0,0,0,0,10.5,6749.083497706953,0.08745519706992458,0.03311827954615177,0,1,298.08000000000004,0.04472135955428174,-0.10000000000002274,298.1,308.5,0.07071067811445397,-0.10000000000002274,308.6,1442.0,155.0274169300383,-321.0,1716.0,42.6,7.704219623037775,15.500000000000004,30.7,115.4,5.412947441089743,3.0,119.0
298,L,298.0,308.5,1713,25.3,124,0,0,0,0,0,0,0,10.5,4538.438995155423,0.07238762400911405,0.014769410382504723,0,1,298.06000000000006,0.05477225575415189,0.0,298.0,308.52000000000004,0.04472135954359751,0.0,308.5,1517.6,179.96471876453987,318.0,1395.0,39.62,11.028916537901624,-20.900000000000002,46.2,118.4,5.128352561983232,2.0,122.0
299,H,297.9,308.5,2129,18.7,126,0,0,0,0,0,0,2,10.600000000000023,4169.134306750431,0.05918271486182118,0.00878346641203219,0,1,298.02,0.08366600265595879,-0.10000000000002274,298.0,308.52000000000004,0.04472135954359751,0.0,308.5,1665.0,307.7945743511408,416.0,1713.0,34.4,13.794201680416279,-6.600000000000001,25.3,121.4,3.974921382870353,2.0,124.0
300,M,297.8,308.3,1567,35.6,131,0,0,0,0,0,0,1,10.5,5841.812483301244,0.08359923415213832,0.022718570502413164,0,1,297.96000000000004,0.11401754251195366,-0.0999999999999659,297.9,308.48,0.10954451149819476,-0.19999999999998863,308.5,1704.0,271.6155371108213,-562.0,2129.0,31.3,10.435755842295222,16.900000000000002,18.7,124.4,4.5055521304275175,5.0,126.0
301,L,297.8,308.4,1622,38.3,134,0,0,0,0,0,0,0,10.599999999999966,6505.463459396576,0.08261405666916519,0.023612823659918108,0,1,297.9,0.10000000000250088,0.0,297.8,308.43999999999994,0.08944271909622778,0.0999999999999659,308.3,1685.2,273.82147468743193,55.0,1567.0,32.82,10.870924523700781,2.6999999999999957,35.6,127.4,4.979959839195485,3.0,131.0
302,L,297.7,308.4,1740,27.1,136,0,0,0,0,0,0,0,10.699999999999989,4937.955332912437,0.07816091949530982,0.015574712634727176,0,1,297.84000000000003,0.11401754251228643,-0.10000000000002274,297.8,308.41999999999996,0.08366600264923593,0.0,308.4,1754.2,220.73445585136892,118.0,1622.0,29.0,7.959899496852869,-11.199999999999996,38.3,130.2,5.118593556827884,2.0,134.0
303,H,297.8,308.4,1512,35.1,138,0,0,0,0,0,0,2,10.599999999999966,5557.603067906488,0.0912698412094776,0.02321428569893235,0,1,297.8,0.07071067812265576,0.10000000000002274,297.7,308.4,0.07071067811354759,0.0,308.4,1714.0,246.869398670633,-228.0,1740.0,30.96,8.027328322673666,8.0,27.1,133.0,4.690415759823424,2.0,136.0
304,M,297.8,308.4,1479,43.5,143,0,0,0,0,0,0,1,10.599999999999966,6737.302525255991,0.0966869505769527,0.0294117646859961,0,1,297.78,0.04472135955647431,0.0,297.8,308.38,0.044721359541655965,0.0,308.4,1584.0,102.80807361292173,-33.0,1512.0,35.92,5.951638429877893,8.399999999999999,35.1,136.4,4.5055521304275175,5.0,138.0
305,L,297.8,308.4,1737,27.5,146,0,0,0,0,0,0,0,10.599999999999966,5002.200902678348,0.08405296483359069,0.015831894061121534,0,1,297.78000000000003,0.04472135955647431,0.0,297.8,308.4,0.0,0.0,308.4,1618.0,122.08398748402648,258.0,1479.0,34.3,7.05974503788906,-16.0,43.5,139.4,4.979959839195485,3.0,143.0
306,L,297.8,308.4,2129,19.2,148,0,0,0,0,0,0,0,10.599999999999966,4280.608486075309,0.06951620475832963,0.009018318455134655,0,1,297.78000000000003,0.04472135955647431,0.0,297.8,308.4,0.0,0.0,308.4,1719.4,259.47697393025055,392.0,1737.0,30.48,9.197934550756422,-8.3,27.5,142.2,5.118593556827884,2.0,146.0
307,L,297.8,308.4,1374,47.1,150,0,0,0,0,0,0,0,10.599999999999966,6776.980840470831,0.10917030559740151,0.03427947595758408,0,1,297.8,0.0,0.0,297.8,308.4,0.0,0.0,308.4,1646.2,300.5822682727641,-755.0,2129.0,34.480000000000004,11.436870201239465,27.900000000000002,19.2,145.0,4.690415759823424,2.0,148.0
308,M,297.8,308.4,1579,36.6,152,0,0,0,0,0,0,1,10.599999999999966,6051.9012560223055,0.09626345782377234,0.023179227344408342,0,1,297.8,0.0,0.0,297.8,308.4,0.0,0.0,308.4,1659.6,294.53658516388066,205.0,1374.0,34.78,11.47680269064513,-10.5,47.1,147.8,3.4928498393145873,2.0,150.0
309,L,297.9,308.5,1305,47.2,155,0,0,0,0,0,0,0,10.600000000000023,6450.3180363505635,0.11877394626913873,0.03616858234776354,0,1,297.82000000000005,0.044721359556191505,0.0999999999999659,297.8,308.41999999999996,0.044721359542192994,0.10000000000002274,308.4,1624.8,329.42252503433934,-274.0,1579.0,35.52,12.271389489377288,10.600000000000001,36.6,150.2,3.4928498393145873,3.0,152.0
310,M,297.9,308.5,1449,40.8,157,0,0,0,0,0,0,1,10.600000000000023,6190.948146870191,0.10835058653668006,0.028157349877048064,0,1,297.84000000000003,0.05477225575547251,0.0,297.9,308.43999999999994,0.05477225574437163,0.0,308.5,1567.2,330.0775666415395,144.0,1305.0,38.18,11.51659671951743,-6.400000000000006,47.2,152.4,3.6469165057620865,2.0,155.0
311,H,298.0,308.6,1526,41.8,160,0,0,0,0,0,0,2,10.600000000000023,6679.738075866714,0.1048492790924972,0.02739187416291489,0,1,297.88,0.08366600265652864,0.10000000000002274,297.9,308.48,0.08366600264969198,0.10000000000002274,308.5,1446.6,110.86162546165352,77.0,1449.0,42.7,4.506661735697512,1.0,40.8,154.8,3.9623225512317797,3.0,157.0
312,M,298.0,308.6,1453,44.1,165,0,0,0,0,0,0,1,10.600000000000023,6710.159164728975,0.11355815546210725,0.030350997914417758,0,1,297.91999999999996,0.08366600265640804,0.0,298.0,308.52,0.08366600264998583,0.0,308.6,1462.4,103.29956437468626,-73.0,1526.0,42.1,3.93827373350305,2.3000000000000043,41.8,157.8,4.9699094559156585,5.0,160.0
313,L,297.9,308.6,1468,36.0,168,0,0,0,0,0,0,0,10.700000000000045,5534.229618563781,0.11444141681577559,0.024523160746237626,0,1,297.94,0.05477225575502755,-0.10000000000002274,298.0,308.56000000000006,0.05477225574572468,0.0,308.6,1440.2,81.63148902231265,15.0,1453.0,41.980000000000004,4.15114442051828,-8.100000000000001,44.1,161.0,5.431390245600094,3.0,165.0
314,L,298.0,308.6,1313,50.8,170,0,0,0,0,0,0,0,10.600000000000023,6984.849554383354,0.1294744858115198,0.0386900228189718,0,1,297.96,0.05477225575494712,0.10000000000002274,297.9,308.58000000000004,0.044721359544415744,0.0,308.6,1441.8,78.33070917590334,-155.0,1468.0,42.7,5.405552700695841,14.799999999999997,36.0,164.0,5.431390245600094,2.0,168.0
315,M,297.9,308.5,1300,53.0,172,0,0,0,0,0,0,1,10.600000000000023,7215.191127744558,0.13230769220591715,0.04076923073786982,0,1,297.96,0.05477225575494712,-0.10000000000002274,298.0,308.58000000000004,0.044721359544415744,-0.10000000000002274,308.6,1412.0,100.19730535298815,-13.0,1313.0,45.14,6.884620541467795,2.200000000000003,50.8,167.0,4.690415759823414,2.0,170.0
316,L,297.9,308.4,1646,40.6,175,0,0,0,0,0,0,0,10.5,6998.1699072345755,0.10631834744452104,0.024665856607128882,0,1,297.94,0.05477225575501069,0.0,297.9,308.5400000000001,0.08944271909692923,-0.10000000000002274,308.5,1436.0,140.56848864521504,346.0,1300.0,44.9,7.0491134194308644,-12.399999999999999,53.0,170.0,3.8078865529319352,3.0,172.0
317,L,297.8,308.4,1714,33.2,177,0,0,0,0,0,0,0,10.599999999999966,5959.056721133215,0.10326721114161773,0.019369894971196094,0,1,297.9,0.07071067812220157,-0.0999999999999659,297.9,308.5,0.09999999999702817,0.0,308.4,1488.2,188.6854525394047,68.0,1646.0,42.72,8.821111041133092,-7.399999999999999,40.6,172.4,3.6469165057620727,2.0,175.0
318,L,297.8,308.4,1685,28.4,179,0,0,0,0,0,0,0,10.599999999999966,5011.259161496199,0.10623145394288934,0.01685459939652546,0,1,297.88,0.0836660026564208,0.0,297.8,308.46000000000004,0.0894427190964208,0.0,308.4,1531.6,206.94999395989348,-29.0,1714.0,41.2,10.719141756689293,-4.800000000000004,33.2,174.6,3.6469165057620727,2.0,177.0
319,L,297.8,308.4,1512,39.9,181,0,0,0,0,0,0,0,10.599999999999966,6317.617162662931,0.11970899462982208,0.026388888871435916,0,1,297.84,0.054772255755174144,0.0,297.8,308.41999999999996,0.044721359542382044,0.0,308.4,1571.4,170.2874041143383,-173.0,1685.0,39.019999999999996,9.292039603875988,11.5,28.4,176.8,3.492849839314573,2.0,179.0
320,L,297.8,308.4,1612,32.1,183,0,0,0,0,0,0,0,10.599999999999966,5418.744672617819,0.11352357313056849,0.019913151352411194,0,1,297.82000000000005,0.04472135955575617,0.0,297.8,308.4,0.0,0.0,308.4,1633.8,78.28282059302636,100.0,1512.0,34.84,5.2548073228235035,-7.799999999999997,39.9,179.0,3.162277660168351,2.0,181.0
321,H,297.8,308.4,1550,38.2,185,0,0,0,0,0,0,2,10.599999999999966,6200.456700635056,0.11935483863267429,0.024645161274422477,0,1,297.8,0.0,0.0,297.8,308.4,0.0,0.0,308.4,1614.6,85.94067721399425,-62.0,1612.0,34.36,4.674719242906409,6.100000000000001,32.1,181.0,3.162277660168351,2.0,183.0
322,L,297.8,308.4,1518,32.5,190,0,0,0,0,0,0,0,10.599999999999966,5166.349118828415,0.12516469029962798,0.021409749656515317,0,1,297.8,0.0,0.0,297.8,308.4,0.0,0.0,308.4,1575.4,72.99178035916064,-32.0,1550.0,34.220000000000006,4.728318940173079,-5.700000000000003,38.2,183.6,4.2190046219457775,5.0,185.0
323,L,297.8,308.5,1448,40.0,192,0,0,0,0,0,0,0,10.699999999999989,6065.368216530695,0.13259668499130062,0.02762430937318763,0,1,297.8,0.0,0.0,297.8,308.41999999999996,0.044721359542382044,0.10000000000002274,308.4,1528.0,59.7829407105401,-70.0,1518.0,36.54,3.938654592624192,7.5,32.5,186.2,4.658325879540832,2.0,190.0
324,L,297.8,308.5,1561,46.3,194,0,0,0,0,0,0,0,10.699999999999989,7568.546997444826,0.12427930805619518,0.02966047403609194,0,1,297.8,0.0,0.0,297.8,308.43999999999994,0.05477225574447929,0.0,308.5,1537.8,60.516113556638395,113.0,1448.0,37.82,5.870008517881362,6.299999999999997,40.0,188.8,4.658325879540832,2.0,192.0
325,M,297.8,308.5,1488,41.9,196,0,0,0,0,0,0,1,10.699999999999989,6528.983516396452,0.13172043001900507,0.02815860213161384,1,1,297.8,0.0,0.0,297.8,308.4599999999999,0.054772255744663496,0.0,308.5,1513.0,46.22769732530437,-73.0,1561.0,39.78,5.063299319613637,-4.399999999999999,46.3,191.4,4.2190046219457775,2.0,194.0
326,L,297.8,308.5,1699,27.8,199,0,0,0,0,0,0,0,10.699999999999989,4946.144417762795,0.11712772212058403,0.01636256620579013,1,1,297.8,0.0,0.0,297.8,308.48,0.04472135954305888,0.0,308.5,1542.8,96.61107596957999,211.0,1488.0,37.699999999999996,7.448825410761063,-14.099999999999998,41.9,194.2,3.492849839314573,3.0,196.0
327,L,297.7,308.5,1501,41.4,201,0,0,0,0,0,0,0,10.800000000000011,6507.432190792826,0.13391072609333063,0.027581612240118843,1,1,297.78000000000003,0.044721359555911874,-0.10000000000002274,297.8,308.5,0.0,0.0,308.5,1539.4,97.99132614675626,-198.0,1699.0,39.480000000000004,6.9416856742436766,13.599999999999998,27.8,196.4,3.6469165057620727,2.0,199.0
328,L,297.7,308.5,1373,56.7,203,1,0,0,0,1,0,0,10.800000000000011,8152.338688285906,0.14785142013994798,0.04129643114253719,1,1,297.76,0.05477225575542258,0.0,297.7,308.5,0.0,0.0,308.5,1524.4,118.9739467278444,-128.0,1501.0,42.81999999999999,10.407064908032439,15.300000000000004,41.4,198.6,3.6469165057620727,2.0,201.0
329,H,297.6,308.4,1703,31.4,205,0,0,0,0,0,0,2,10.799999999999955,5599.805129219711,0.1203758073280236,0.018438050488292394,1,1,297.71999999999997,0.08366600265671931,-0.0999999999999659,297.7,308.47999999999996,0.04472135954305888,-0.10000000000002274,308.5,1552.8,144.1742001885218,330.0,1373.0,39.839999999999996,11.259795735269801,-25.300000000000004,56.7,200.8,3.492849839314573,2.0,203.0
330,H,297.7,308.5,1720,29.9,210,0,0,0,0,0,0,2,10.800000000000011,5385.527566293862,0.12209302318482963,0.01738372092012574,1,1,297.7,0.07071067812264321,0.0999999999999659,297.6,308.48,0.04472135954305888,0.10000000000002274,308.4,1599.2,155.02967457877205,17.0,1703.0,37.44,11.967581209250255,-1.5,31.4,203.6,4.2190046219457775,5.0,205.0
331,M,297.6,308.4,1398,41.9,215,0,0,0,0,0,0,1,10.799999999999955,6134.085319840215,0.153791130075972,0.02997138767527082,1,1,297.66,0.0547722557558656,-0.0999999999999659,297.7,308.46000000000004,0.054772255744663496,-0.10000000000002274,308.5,1539.0,164.7255292903925,-322.0,1720.0,40.260000000000005,10.724877621679422,12.0,29.9,206.8,5.674504383644426,5.0,210.0
332,M,297.6,308.4,1391,51.9,218,0,0,0,0,0,0,1,10.799999999999955,7560.022809378086,0.15672178277733875,0.037311286817173765,1,1,297.64,0.05477225575598106,0.0,297.6,308.44,0.05477225574447929,0.0,308.4,1517.0,177.88901034071768,-7.0,1398.0,42.36,11.960685599078348,10.0,41.9,210.2,6.379655163094618,3.0,215.0
333,M,297.6,308.3,1538,40.2,0,0,0,0,0,0,0,1,10.699999999999989,6474.571131636277,0.0,0.026137841335411027,0,1,297.62,0.04472135955684294,0.0,297.6,308.4,0.07071067811368625,-0.0999999999999659,308.4,1550.0,158.77499803180586,147.0,1391.0,39.06,8.89960673288432,-11.699999999999996,51.9,169.6,94.93840108196471,-218.0,218.0
334,L,297.5,308.2,1647,31.3,3,0,0,0,0,0,0,0,10.699999999999989,5398.4185681490935,0.0018214936236663668,0.019004250140252428,0,1,297.6,0.07071067812307781,-0.10000000000002274,297.6,308.36,0.1140175425066465,-0.10000000000002274,308.3,1538.8,146.80837850749515,109.0,1538.0,39.040000000000006,8.921210680171155,-8.900000000000002,40.2,129.2,116.61346405968739,3.0,0.0
335,M,297.5,308.1,1469,44.8,5,0,0,0,0,0,0,1,10.600000000000023,6891.732748130953,0.003403675967730649,0.030496936670866615,0,1,297.56000000000006,0.05477225575647337,0.0,297.5,308.28000000000003,0.13038404810086082,-0.0999999999999659,308.2,1488.6,106.82836701925176,-178.0,1647.0,42.019999999999996,7.476429629174618,13.499999999999996,31.3,88.2,117.13966023512275,2.0,3.0
336,L,297.4,308.1,1749,25.9,8,0,0,0,0,0,0,0,10.700000000000045,4743.710659140979,0.004574042307276134,0.01480846196980648,0,1,297.52000000000004,0.08366600265747855,-0.10000000000002274,297.5,308.21999999999997,0.1303840481006205,0.0,308.1,1558.8,141.95844462376996,280.0,1469.0,38.82,10.395046897441102,-18.9,44.8,46.8,95.74810703089642,3.0,5.0
337,M,297.6,308.2,1995,20.5,10,0,0,0,0,0,0,1,10.599999999999966,4282.776185006285,0.005012531325808254,0.010275689217906923,0,1,297.52,0.08366600265747855,0.20000000000004547,297.4,308.18,0.08366600264782274,0.0999999999999659,308.1,1679.6,206.0092230945012,246.0,1749.0,32.54,9.99464856810881,-5.399999999999999,25.9,5.2,3.962322551231335,2.0,8.0
338,L,297.6,308.3,1742,27.7,13,0,0,0,0,0,0,0,10.699999999999989,5053.084231690991,0.007462686562880202,0.015901262907060124,0,1,297.52000000000004,0.08366600265747855,0.0,297.6,308.18,0.08366600264782274,0.10000000000002274,308.2,1720.4,190.5775432730729,-253.0,1995.0,30.04,9.125130136058297,7.199999999999999,20.5,7.8,3.9623225512313445,3.0,10.0
339,L,297.5,308.2,1563,38.2,15,0,0,0,0,0,0,0,10.699999999999989,6252.460531027478,0.009596928976585458,0.024440179127037633,0,1,297.52,0.08366600265747855,-0.10000000000002274,297.6,308.18,0.08366600264782274,-0.10000000000002274,308.3,1703.6,202.02425596942555,-179.0,1742.0,31.419999999999998,9.855810468956848,10.500000000000004,27.7,10.2,3.962322551231353,2.0,13.0
340,M,297.5,308.2,1713,32.2,17,0,0,0,0,0,0,1,10.699999999999989,5776.195084743266,0.009924109743184991,0.018797431395915103,0,1,297.52,0.08366600265747855,0.0,297.5,308.2,0.07071067811219704,0.0,308.2,1752.4,155.24110280463734,150.0,1563.0,28.9,6.677948786865567,-6.0,38.2,12.6,3.6469165057616286,2.0,15.0
341,L,297.4,308.1,1474,39.4,20,0,0,0,0,0,0,0,10.700000000000045,6081.662610427314,0.01356852102200236,0.026729986413344647,0,1,297.52,0.08366600265747855,-0.10000000000002274,297.5,308.2,0.07071067811219704,-0.0999999999999659,308.2,1697.4,199.22926491858567,-239.0,1713.0,31.6,7.797114851020179,7.199999999999996,32.2,15.0,3.8078865529315173,3.0,17.0
342,M,297.4,308.2,1530,32.6,22,0,0,0,0,0,0,1,10.800000000000011,5223.21194585839,0.014379084957922166,0.021307189528557393,0,1,297.48,0.08366600265763652,0.0,297.4,308.2,0.07071067811219704,0.0999999999999659,308.1,1604.4,117.24035141537234,56.0,1474.0,34.019999999999996,4.787692554874378,-6.799999999999997,39.4,17.4,3.646916505761647,2.0,20.0
343,L,297.4,308.2,1471,46.5,25,0,0,0,0,0,0,0,10.800000000000011,7162.988329817408,0.01699524132087339,0.031611148856824506,0,1,297.43999999999994,0.05477225575717649,0.0,297.4,308.18,0.04472135953954916,0.0,308.2,1550.2,98.93785928551317,-59.0,1530.0,37.78,5.848247600777501,13.899999999999999,32.6,19.8,3.962322551231387,3.0,22.0
344,L,297.5,308.3,1388,48.6,27,0,0,0,0,0,0,0,10.800000000000011,7064.059577155866,0.019452449553708607,0.0350144091966755,0,1,297.43999999999994,0.05477225575717649,0.10000000000002274,297.4,308.2,0.07071067811219704,0.10000000000002274,308.2,1515.2,121.6293550093891,-83.0,1471.0,39.86,7.6169547720857524,2.1000000000000014,46.5,22.2,3.9623225512313955,2.0,25.0
345,M,297.5,308.2,2448,13.8,29,0,0,0,0,0,0,1,10.699999999999989,3537.6846553543946,0.011846405223918952,0.005637254899657985,0,1,297.43999999999994,0.05477225575717649,0.0,297.5,308.2,0.07071067811219704,-0.10000000000002274,308.3,1662.2,442.18796908102325,1060.0,1388.0,36.18,14.007212427888703,-34.8,48.6,24.6,3.646916505761675,2.0,27.0
346,L,297.5,308.3,1585,32.9,32,0,0,0,0,0,0,0,10.800000000000011,5460.768710347337,0.02018927443521181,0.020757097778702143,0,1,297.4599999999999,0.05477225575707271,0.0,297.5,308.24,0.05477225574258721,0.10000000000002274,308.2,1684.4,433.06962488726913,-863.0,2448.0,34.879999999999995,13.935099569073758,19.099999999999998,13.8,27.0,3.807886552931562,3.0,29.0
347,M,297.5,308.3,1459,45.2,34,0,0,0,0,0,0,1,10.800000000000011,6905.932746925179,0.02330363260911334,0.030980123350938915,0,1,297.48,0.044721359557904274,0.0,297.5,308.26,0.054772255742794776,0.0,308.3,1670.2,440.4982406321278,-126.0,1585.0,37.4,14.545617896810015,12.300000000000004,32.9,29.4,3.646916505761694,2.0,32.0
348,L,297.5,308.3,1544,40.8,37,0,0,0,0,0,0,0,10.800000000000011,6596.841917713991,0.023963730554427635,0.026424870449206685,0,1,297.5,0.0,0.0,297.5,308.28,0.04472135954079877,0.0,308.3,1684.8,433.3978541709684,85.0,1459.0,36.260000000000005,13.861385212164034,-4.400000000000006,45.2,31.8,3.96232255123143,3.0,34.0
349,L,297.6,308.3,1617,31.7,39,0,0,0,0,0,0,0,10.699999999999989,5367.819455703128,0.024118738389536955,0.01960420530636722,0,1,297.52,0.04472135955769137,0.10000000000002274,297.5,308.28000000000003,0.04472135954079877,0.0,308.3,1730.6,405.38660560013574,73.0,1544.0,32.88,12.041054771073815,-9.099999999999998,40.8,34.2,3.9623225512314386,2.0,37.0
350,L,297.6,308.3,1595,34.3,41,0,0,0,0,0,0,0,10.699999999999989,5729.060722963907,0.02570532913748882,0.02150470218087479,0,1,297.53999999999996,0.05477225575671466,0.0,297.6,308.3,0.0,0.0,308.3,1560.0,62.36184731067522,-22.0,1617.0,36.98,5.785066983190409,2.599999999999998,31.7,36.6,3.646916505761722,2.0,39.0
351,H,297.6,308.3,1400,44.3,43,0,0,0,0,0,0,2,10.699999999999989,6494.719212521298,0.030714285692346938,0.0316428571202551,0,1,297.56,0.054772255756634226,0.0,297.6,308.3,0.0,0.0,308.3,1523.0,91.76873105802417,-195.0,1595.0,39.260000000000005,6.016892885867248,10.0,34.3,38.8,3.4928498393142164,2.0,41.0
352,M,297.6,308.4,1611,31.0,48,0,0,0,0,0,0,1,10.799999999999955,5229.809290430929,0.029795158268283575,0.01924270638159981,0,1,297.58000000000004,0.04472135955739585,0.0,297.6,308.32,0.04472135954133579,0.0999999999999659,308.3,1553.4,90.43395380054976,211.0,1400.0,36.42,5.861484453617507,-13.299999999999997,44.3,41.6,4.219004621945492,5.0,43.0
353,M,297.6,308.4,1507,46.0,51,0,0,0,0,0,0,1,10.799999999999955,7259.382864405055,0.03384207031596412,0.030524220284987243,0,1,297.6,0.0,0.0,297.6,308.34000000000003,0.05477225574367757,0.0,308.4,1546.0,92.87626176801028,-104.0,1611.0,37.46,7.1521325491072805,15.0,31.0,44.4,4.979959839195242,3.0,48.0
